Date,Ftot_constrain
2371,7.416674832
2372,7.416674832
2373,7.416674832
2374,7.416674832
2375,7.416674832
2376,7.416674832
2377,7.416674832
2378,7.416674832
2379,7.416674832
2380,7.416674832
2381,7.416674832
2382,7.416674832
2383,7.416674832
2384,7.416674832
2385,7.416674832
2386,7.416674832
2387,7.416674832
2388,7.416674832
2389,7.416674832
2390,7.416674832
2391,7.416674832
2392,7.416674832
2393,7.416674832
2394,7.416674832
2395,7.416674832
2396,7.416674832
2397,7.416674832
2398,7.416674832
2399,7.416674832
2400,7.416674832
2401,7.416674832
2402,7.416674832
2403,7.416674832
2404,7.416674832
2405,7.416674832
2406,7.416674832
2407,7.416674832
2408,7.416674832
2409,7.416674832
2410,7.416674832
2411,7.416674832
2412,7.416674832
2413,7.416674832
2414,7.416674832
2415,7.416674832
2416,7.416674832
2417,7.416674832
2418,7.416674832
2419,7.416674832
2420,7.416674832
2421,7.416674832
2422,7.416674832
2423,7.416674832
2424,7.416674832
2425,7.416674832
2426,7.416674832
2427,7.416674832
2428,7.416674832
2429,7.416674832
2430,7.416674832
2431,7.416674832
2432,7.416674832
2433,7.416674832
2434,7.416674832
2435,7.416674832
2436,7.416674832
2437,7.416674832
2438,7.416674832
2439,7.416674832
2440,7.416674832
2441,7.416674832
2442,7.416674832
2443,7.416674832
2444,7.416674832
2445,7.416674832
2446,7.416674832
2447,7.416674832
2448,7.416674832
2449,7.416674832
2450,7.416674832
2451,7.416674832
2452,7.416674832
2453,7.416674832
2454,7.416674832
2455,7.416674832
2456,7.416674832
2457,7.416674832
2458,7.416674832
2459,7.416674832
2460,7.416674832
2461,7.416674832
2462,7.416674832
2463,7.416674832
2464,7.416674832
2465,7.416674832
2466,7.416674832
2467,7.416674832
2468,7.416674832
2469,7.416674832
2470,7.416674832
2471,7.416674832
2472,7.416674832
2473,7.416674832
2474,7.416674832
2475,7.416674832
2476,7.416674832
2477,7.416674832
2478,7.416674832
2479,7.416674832
2480,7.416674832
2481,7.416674832
2482,7.416674832
2483,7.416674832
2484,7.416674832
2485,7.416674832
2486,7.416674832
2487,7.416674832
2488,7.416674832
2489,7.416674832
2490,7.416674832
2491,7.416674832
2492,7.416674832
2493,7.416674832
2494,7.416674832
2495,7.416674832
2496,7.416674832
2497,7.416674832
2498,7.416674832
2499,7.416674832
2500,7.416674832
